#Scan#	pepmass	query_validation
12323	231.1341	Daunosamine
13228	254.1749	Daunosamine
6312	302.2079	Daunosamine
6391	231.1705	Daunosamine
6626	302.2078	Daunosamine
6760	231.1704	Daunosamine
6806	302.2077	Daunosamine
6997	231.1706	Daunosamine
7037	318.2027	Daunosamine
7184	231.1706	Daunosamine
7201	231.1704	Daunosamine
7299	231.1706	Daunosamine
7464	231.1705	Daunosamine
7593	318.2026	Daunosamine
7666	332.2182	Daunosamine
7702	458.2978	Daunosamine
7748	318.2026	Daunosamine
7780	318.2027	Daunosamine
7794	288.192	Daunosamine
7801	332.2184	Daunosamine
7812	332.2179	Daunosamine
7819	288.192	Daunosamine
7884	288.192	Daunosamine
7887	332.2182	Daunosamine
7907	360.2132	Daunosamine
7945	302.2076	Daunosamine
7949	302.2079	Daunosamine
8013	265.155	Daunosamine
8036	265.155	Daunosamine
8038	346.1975	Daunosamine
8090	265.155	Daunosamine
8467	336.192	Daunosamine
8821	330.2391	Daunosamine
12925	229.1436	Deoxyhexose
15272	283.1176	Deoxyhexose
15438	241.1436	Deoxyhexose
15472	241.1432	Deoxyhexose
16150	229.1435	Deoxyhexose
16381	283.1176	Deoxyhexose
16634	229.1432	Deoxyhexose
16679	229.1434	Deoxyhexose
16683	229.1433	Deoxyhexose
16690	229.1435	Deoxyhexose
16694	229.1435	Deoxyhexose
16723	229.1435	Deoxyhexose
16950	229.1434	Deoxyhexose
17022	229.1434	Deoxyhexose
17535	267.1225	Deoxyhexose
17864	363.1646	Deoxyhexose
18358	361.2003	Deoxyhexose
18783	297.1333	Deoxyhexose
18784	297.1333	Deoxyhexose
18785	297.133	Deoxyhexose
18795	297.1334	Deoxyhexose
18800	297.1334	Deoxyhexose
18809	297.1333	Deoxyhexose
18853	297.1332	Deoxyhexose
18856	297.1333	Deoxyhexose
18866	297.1332	Deoxyhexose
18872	297.1332	Deoxyhexose
19407	325.2005	Deoxyhexose
19588	229.1432	Deoxyhexose
19676	283.1908	Deoxyhexose
19859	297.1332	Deoxyhexose
20589	297.1335	Deoxyhexose
20593	297.1336	Deoxyhexose
